$ python rbmCdk.py
Training epoch 482, cost is 0.6898795217637338
Training epoch 483, cost is 0.6835266521438728
Training epoch 484, cost is 0.6859764164141544
Training epoch 485, cost is 0.6757379892907162
Training epoch 486, cost is 0.6863238683767938
Training epoch 487, cost is 0.6805788497179722
Training epoch 488, cost is 0.6828176148031725
Training epoch 489, cost is 0.6893487072644952
Training epoch 490, cost is 0.6850722955748396
Training epoch 491, cost is 0.6818378749779977
Training epoch 492, cost is 0.6818639566254899
Training epoch 493, cost is 0.670996978273247
Training epoch 494, cost is 0.6900271333381262
Training epoch 495, cost is 0.6871054670399309
Training epoch 496, cost is 0.6849550130806331
Training epoch 497, cost is 0.6747773169275956
Training epoch 498, cost is 0.6671931270095319
Training epoch 499, cost is 0.6773113607529835
Training epoch 500, cost is 0.6662780282543602
Training epoch 501, cost is 0.6725252583697885
Training epoch 502, cost is 0.6729569370015983
Training epoch 503, cost is 0.6860141720881995
Training epoch 504, cost is 0.6883442065493277
Training epoch 505, cost is 0.7023660991955527
Training epoch 506, cost is 0.7112425929318209
Training epoch 507, cost is 0.6919555278501387
Training epoch 508, cost is 0.668631049767524
Training epoch 509, cost is 0.6855413455485079
Training epoch 510, cost is 0.6768875472238113
Training epoch 511, cost is 0.6657701529049289
Training epoch 512, cost is 0.6666984710214274
Training epoch 513, cost is 0.670672645258653
Training epoch 514, cost is 0.6779436819229279
Training epoch 515, cost is 0.6687738708062708
Training epoch 516, cost is 0.668567521183251
Training epoch 517, cost is 0.6774270605168713
Training epoch 518, cost is 0.6819630125219139
Training epoch 519, cost is 0.6904827125935201
Training epoch 520, cost is 0.6943945244648376
Training epoch 521, cost is 0.6957377770166984
Training epoch 522, cost is 0.695953416916987
Training epoch 523, cost is 0.6909683511829315
Training epoch 524, cost is 0.6844739969545469
Training epoch 525, cost is 0.6906916773393711
Training epoch 526, cost is 0.6867228268885851
Training epoch 527, cost is 0.6810365262576155
Training epoch 528, cost is 0.6797976424406911
Training epoch 529, cost is 0.6748142828595641
Training epoch 530, cost is 0.6804452810017733
Training epoch 531, cost is 0.681764936529221
Training epoch 532, cost is 0.6836880327836378
Training epoch 533, cost is 0.6834495054954258
Training epoch 534, cost is 0.6839897283591947
Training epoch 535, cost is 0.6858676088858213
