============ generation 0 ===============
1 {'chromosome': '0011000010111100', 'fitness': 9}
2 {'chromosome': '1000111011010010', 'fitness': 10}
3 {'chromosome': '1100111011100110', 'fitness': 10}
4 {'chromosome': '1010111010011101', 'fitness': 10}
5 {'chromosome': '1001101000100100', 'fitness': 10}
6 {'chromosome': '1000101000000111', 'fitness': 10}
7 {'chromosome': '1000101111100001', 'fitness': 10}
8 {'chromosome': '0010000011101001', 'fitness': 10}
9 {'chromosome': '1110100000111111', 'fitness': 10}
10 {'chromosome': '1000100111101001', 'fitness': 10}
11 {'chromosome': '0010111000000011', 'fitness': 10}
12 {'chromosome': '1000011010001100', 'fitness': 10}
13 {'chromosome': '1000101000000111', 'fitness': 10}
14 {'chromosome': '1010111011001100', 'fitness': 11}
15 {'chromosome': '0010101010011111', 'fitness': 11}
16 {'chromosome': '1010111011111100', 'fitness': 11}
17 {'chromosome': '1010111000000110', 'fitness': 11}
18 {'chromosome': '0010101011100111', 'fitness': 11}
19 {'chromosome': '1000101001101100', 'fitness': 11}
20 {'chromosome': '1110101010100101', 'fitness': 11}
21 {'chromosome': '1000101000000110', 'fitness': 11}
22 {'chromosome': '1000101000101101', 'fitness': 11}
23 {'chromosome': '1001101000101111', 'fitness': 11}
24 {'chromosome': '1010111010100101', 'fitness': 11}
25 {'chromosome': '1000111010001111', 'fitness': 11}
26 {'chromosome': '1010011011101100', 'fitness': 11}
27 {'chromosome': '1100101000110010', 'fitness': 11}
28 {'chromosome': '0010101010011111', 'fitness': 11}
29 {'chromosome': '0000101000011010', 'fitness': 11}
30 {'chromosome': '0010011011101110', 'fitness': 11}
31 {'chromosome': '1110101000110011', 'fitness': 11}
32 {'chromosome': '1000101111101001', 'fitness': 11}
33 {'chromosome': '1110111111101000', 'fitness': 11}
34 {'chromosome': '1110001010111111', 'fitness': 11}
35 {'chromosome': '0001101000101011', 'fitness': 11}
36 {'chromosome': '1010111011111000', 'fitness': 12}
37 {'chromosome': '1010111010001100', 'fitness': 12}
38 {'chromosome': '1010101011010010', 'fitness': 12}
39 {'chromosome': '1010101010100101', 'fitness': 12}
40 {'chromosome': '1010101111101001', 'fitness': 12}
41 {'chromosome': '1011000011101010', 'fitness': 12}
42 {'chromosome': '1000101001111010', 'fitness': 12}
43 {'chromosome': '0010101010001111', 'fitness': 12}
44 {'chromosome': '1110101110011010', 'fitness': 12}
45 {'chromosome': '1000111010001000', 'fitness': 12}
46 {'chromosome': '1010001111101011', 'fitness': 12}
47 {'chromosome': '0010101011000010', 'fitness': 12}
48 {'chromosome': '1010111011101111', 'fitness': 12}
49 {'chromosome': '1010111010110000', 'fitness': 12}
50 {'chromosome': '1000111011101000', 'fitness': 12}
51 {'chromosome': '1110101000001110', 'fitness': 12}
52 {'chromosome': '1000111011101110', 'fitness': 12}
53 {'chromosome': '0010100010001011', 'fitness': 12}
54 {'chromosome': '1000101010000011', 'fitness': 12}
55 {'chromosome': '1100101011101011', 'fitness': 12}
56 {'chromosome': '1110101110111011', 'fitness': 12}
57 {'chromosome': '1000100010101100', 'fitness': 12}
